Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250050-València - Bulevard Sud
	
FECHA	HORA	SO2	NO	NO2	NOx	O3
		µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
10/01/2024	09	6	162	56	304	3
10/01/2024	10	5	115	61	236	3
10/01/2024	11	3	28	38	81	18
10/01/2024	12	3	10	17	32	40
10/01/2024	13	3	11	30	47	34
10/01/2024	14	3	5	15	22	45
10/01/2024	15	3	4	4	9	50
10/01/2024	16	3	4	8	13	44
10/01/2024	17	3	4	12	18	42
10/01/2024	18	3	4	14	19	39
10/01/2024	19	3	3	9	14	41
10/01/2024	20	3	3	12	17	35
10/01/2024	21	3	3	10	15	35
10/01/2024	22	3	3	9	14	37
10/01/2024	23	3	3	13	18	34
11/01/2024	00	3	3	4	9	38
11/01/2024	01	3	3	6	11	31
11/01/2024	02	3	3	5	10	25
11/01/2024	03	3	3	16	21	10
11/01/2024	04	3	3	13	17	10
11/01/2024	05	3	5	10	18	15
11/01/2024	06	3	14	23	45	6
11/01/2024	07	4	91	33	172	3
11/01/2024	08	4	75	40	155	3
11/01/2024	09	3	34	41	92	6
11/01/2024	10	3	16	27	52	12
11/01/2024	11	3	8	12	24	25
11/01/2024	12	3	5	5	13	39
11/01/2024	13	3	6	11	19	39
11/01/2024	14	3	8	11	23	44
11/01/2024	15	3	5	7	15	52
11/01/2024	16	3	7	12	22	52
11/01/2024	17	3	13	30	49	38
11/01/2024	18	3	17	44	71	23
11/01/2024	19	3	14	48	70	21
11/01/2024	20	3	9	36	49	25
11/01/2024	21	3	8	34	46	26
11/01/2024	22	3	6	21	30	34
11/01/2024	23	3	8	30	42	11
12/01/2024	00	3	8	29	41	7
12/01/2024	01	3	6	21	30	14
12/01/2024	02	3	3	10	14	20
12/01/2024	03	5	4	20	26	8
12/01/2024	04	6	11	23	40	4
12/01/2024	05	7	24	24	61	3
12/01/2024	06	6	31	28	75	4
12/01/2024	07	7	47	38	109	4
12/01/2024	08	9	90	43	180	3
12/01/2024	09	8	61	42	134	6
12/01/2024	10	6	17	20	46	19
12/01/2024	11	4	11	16	33	29
12/01/2024	12	3	9	14	27	38
12/01/2024	13	3	9	17	31	42
12/01/2024	14	3	10	17	33	46
12/01/2024	15	3	12	17	34	49
12/01/2024	16	3	6	15	24	51
12/01/2024	17	3	4	16	22	45
12/01/2024	18	3	3	35	40	24
12/01/2024	19	3	28	52	96	7
12/01/2024	20	3	69	58	164	3
12/01/2024	21	4	96	55	202	3
12/01/2024	22	3	53	53	134	3
12/01/2024	23	3	57	44	131	3
13/01/2024	00	4	37	38	95	3
13/01/2024	01	5	45	33	102	3
13/01/2024	02	7	47	26	99	3
13/01/2024	03	7	39	23	82	3
13/01/2024	04	7	33	21	71	3
13/01/2024	05	7	26	20	60	3
13/01/2024	06	7	36	20	74	3
13/01/2024	07	9	61	23	116	3
13/01/2024	08	8	64	23	120	3
13/01/2024	09	9	79	34	155	3
13/01/2024	10	8	61	39	131	3
13/01/2024	11	5	32	38	87	5
13/01/2024	12	4	28	29	72	13
13/01/2024	13	3	12	18	36	27
13/01/2024	14	3	9	16	30	38
13/01/2024	15	3	5	13	21	49
13/01/2024	16	3	4	12	18	53
13/01/2024	17	3	7	28	38	42
13/01/2024	18	3	12	44	62	25
13/01/2024	19	3	41	59	122	9
13/01/2024	20	3	66	70	171	3
13/01/2024	21	3	69	61	167	3
13/01/2024	22	3	49	55	131	3
13/01/2024	23	3	23	51	86	3
14/01/2024	00	3	20	44	75	3
14/01/2024	01	3	44	45	111	3
14/01/2024	02	3	21	38	70	8
14/01/2024	03	3	6	24	34	13
14/01/2024	04	3	3	5	10	36
14/01/2024	05	3	3	4	9	45
14/01/2024	06	3	3	4	9	45
14/01/2024	07	3	3	6	11	41
14/01/2024	08	3	3	4	9	45
14/01/2024	09	3	4	4	9	46
14/01/2024	10	3	4	4	10	46
14/01/2024	11	3	4	4	9	46
14/01/2024	12	3	4	4	9	47
14/01/2024	13	3	4	4	9	47
14/01/2024	14	3	4	4	10	54
14/01/2024	15	3	4	4	9	58
14/01/2024	16	3	4	4	10	59
14/01/2024	17	3	4	4	9	56
14/01/2024	18	3	4	4	10	55
14/01/2024	19	3	4	4	9	60
14/01/2024	20	3	4	5	11	51
14/01/2024	21	3	4	6	12	49
14/01/2024	22	3	5	16	23	40
14/01/2024	23	5	4	4	10	57
15/01/2024	00	3	4	4	9	57
15/01/2024	01	3	4	4	10	56
