Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250048-València - Molí del Sol
	
FECHA	HORA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
		µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
07/01/2024	07	1	1	3	0,1	1	5	1	5	64
07/01/2024	08	1	1	3	0,1	1	7	2	7	65
07/01/2024	09	2	1	3	0,1	1	9	6	11	63
07/01/2024	10	1	1	3	0,1	1	6	5	7	69
07/01/2024	11	2	1	4	0,1	1	3	9	4	75
07/01/2024	12	2	1	4	0,1	1	3	11	3	75
07/01/2024	13	2	1	4	0,1	1	3	8	3	76
07/01/2024	14	1	1	4	0,1	1	3	2	3	75
07/01/2024	15	1	1	3	0,1	1	3	1	3	76
07/01/2024	16	1	1	3	0,1	1	4	2	4	76
07/01/2024	17	1	1	4	0,1	1	4	1	5	76
07/01/2024	18	3	1	3	0,1	1	9	10	10	68
07/01/2024	19	2	1	3	0,1	1	17	5	18	56
07/01/2024	20	2	1	3	0,1	1	13	2	14	63
07/01/2024	21	2	1	3	0,1	2	17	3	19	56
07/01/2024	22	2	1	3	0,1	3	20	3	23	51
07/01/2024	23	1	1	3	0,1	1	5	1	5	73
08/01/2024	00	1	1	3	0,1	1	4	1	4	72
08/01/2024	01	1	1	3	0,1	1	3	1	4	71
08/01/2024	02	1	1	3	0,1	1	4	1	5	69
08/01/2024	03	1	1	3	0,1	1	5	1	5	68
08/01/2024	04	1	1	3	0,1	1	4	1	4	68
08/01/2024	05	1	1	3	0,1	1	5	3	5	68
08/01/2024	06	1	1	3	0,1	1	6	5	6	67
08/01/2024	07	4	1	3	0,1	1	10	19	10	63
08/01/2024	08	2	1	3	0,1	1	12	8	13	62
08/01/2024	09	2	1	3	0,1	1	10	9	11	63
08/01/2024	10	2	1	3	0,1	1	7	8	9	64
08/01/2024	11	3	1	3	0,1	1	6	13	8	66
08/01/2024	12	2	1	3	0,1	1	5	10	6	69
08/01/2024	13	3	1	3	0,1	1	5	11	6	71
08/01/2024	14	1	1	3	0,1	1	4	6	5	72
08/01/2024	15	2	1	3	0,1	1	4	5	5	73
08/01/2024	16	2	1	3	0,1	1	5	8	6	73
08/01/2024	17	4	1	3	0,1	1	14	21	15	62
08/01/2024	18	4	1	3	0,1	1	25	23	26	49
08/01/2024	19	6	2	4	0,3	32	63	17	111	20
08/01/2024	20	10	2	6	0,5	82	75	24	201	7
08/01/2024	21	10	3	4	0,4	53	73	18	154	6
08/01/2024	22	11	3	4	0,4	48	67	19	140	6
08/01/2024	23	14	5	3	0,4	29	57	19	101	6
09/01/2024	00	12	5	3	0,2	4	44	15	51	7
09/01/2024	01	10	4	3	0,1	1	34	12	36	18
09/01/2024	02	11	4	3	0,1	1	31	12	32	15
09/01/2024	03	10	4	3	0,2	8	31	12	43	7
09/01/2024	04	10	4	3	0,1	2	31	11	34	9
09/01/2024	05	9	4	3	0,2	14	39	12	61	7
09/01/2024	06	6	2	3	0,1	8	38	10	51	7
09/01/2024	07	7	3	3	0,2	37	49	12	106	5
09/01/2024	08	13	4	4	0,1	49	53	24	127	5
09/01/2024	09	23	7	5	0,2	67	53	49	155	7
09/01/2024	10	14	4	5	0,2	48	47	31	121	14
09/01/2024	11	5	2	7	0,1	11	32	11	49	36
