X;Y;angulo;fecha_actualizacion;hora_actualizacion;idpm;ih
726758.027;4373923.632;341;2018-03-28;00:45:07;1317;20
726714.45;4373953.642;162;2018-03-28;00:45:07;1318;104
726459.22;4374029.872;340;2018-03-28;00:45:07;1319;42
726529.942;4374016.64499999955;160;2018-03-28;00:45:07;1320;42
726426.2;4374054.461;161;2018-03-28;00:00:00;1321;20
726457.293;4374076.565;252;2018-03-28;00:30:03;1322;20
726284.891;4373933.7;72;2018-03-28;00:45:07;1323;82
726677.564;4374023.041;318;2018-03-28;00:00:00;1324;20
726732.003;4373903.44799999986;251;2018-03-28;00:45:07;1325;103
726401.015;4374152.376;317;2018-03-28;00:45:07;1326;229
726086.837;4374437.14099999983;319;2018-03-28;00:45:07;1327;249
726244.157;4374312.59399999958;139;2018-03-28;00:45:07;1328;376
726964.212;4373316.849;70;2018-03-28;00:45:07;1423;126
727371.484;4372824.68099999987;251;2018-03-28;00:45:07;1424;144
727361.0;4372634.854;70;2018-03-28;00:45:07;1425;292
727305.85;4373247.418;71;2018-03-28;00:45:07;1427;217
726638.906;4372636.209;35;2018-03-28;00:45:07;1435;81
727550.665;4372924.176;341;2018-03-28;00:45:07;1436;228
726887.352;4372323.82199999969;303;2018-03-28;00:45:07;1501;82
726991.695;4372247.71;122;2018-03-28;00:45:07;1502;40
723639.025;4373756.019;211;2018-03-28;00:45:08;1703;165
723869.412;4373893.37799999956;211;2018-03-28;00:45:08;1704;82
724037.02;4373817.354;121;2018-03-28;00:45:08;1707;20
723596.526;4373711.849;31;2018-03-28;00:45:08;1712;311
727951.704;4372065.00899999961;74;2018-03-28;00:45:09;2117;228
727656.428;4371092.281;254;2018-03-28;00:45:09;2124;166
727649.991;4370993.88;74;2018-03-28;00:45:09;2125;124
725574.57;4370439.14699999988;261;2018-03-27;22:30:02;2319;42
725568.925;4370301.119;356;2018-03-28;00:45:10;2320;30
725548.736;4370288.295;261;2018-03-28;00:45:10;2321;30
725533.305;4370151.46499999985;81;2018-03-28;00:45:10;2322;120
725516.021;4370092.354;261;2018-03-28;00:45:10;2323;30
728158.335;4372789.495;74;2018-03-28;00:45:08;2008;181
728172.957;4372842.943;74;2018-03-28;00:45:08;2009;133
728242.234;4372807.673;161;2018-03-28;00:45:08;2010;45
728310.039;4373354.79;251;2018-03-28;00:45:09;2039;104
728254.712;4373190.403;254;2018-03-28;00:45:09;2040;61
728283.048;4373213.511;71;2018-03-28;00:45:09;2041;166
728227.659;4373096.354;254;2018-03-28;00:45:09;2042;103
728175.249;4373427.451;341;2015-10-16;10:45:42;2049;1916
727909.036;4371913.59;73;2018-03-28;00:45:09;2119;187
727889.784;4371845.63499999978;73;2018-03-28;00:45:09;2120;187
727954.912;4371718.268;160;2018-03-28;00:45:09;2121;167
727277.254;4371429.154;298;2018-03-28;00:45:09;2122;145
727317.772;4371375.939;118;2018-03-28;00:45:09;2123;166
727516.165;4371297.047;166;2018-03-28;00:45:09;2126;102
727435.834;4371260.579;324;2018-03-28;00:45:09;2127;333
727731.999;4371282.973;74;2018-03-28;00:45:09;2128;104
727551.619;4371893.529;341;2018-03-28;00:45:09;2132;353
727713.263;4371836.95299999975;341;2018-03-28;00:45:09;2133;228
726931.414;4370823.80399999954;210;2018-03-28;00:45:09;2226;12
726931.414;4370823.80399999954;210;2018-03-28;00:45:09;2226;12
726763.178;4370706.956;30;2018-03-28;00:45:09;2227;42
726812.987;4370755.29;210;2018-03-28;00:45:09;2228;20
726812.987;4370755.29;210;2018-03-28;00:45:09;2228;20
726842.218;4370819.48199999984;120;2018-03-28;00:30:08;2230;42
725493.236;4369903.26;81;2018-03-28;00:45:10;2324;120
725481.254;4369876.405;261;2018-03-28;00:45:10;2325;20
725459.825;4369694.076;81;2018-03-28;00:45:10;2326;120
725447.84;4369660.371;261;2018-03-28;00:45:10;2327;20
725782.859;4370532.246;30;2018-03-28;00:30:09;2328;22
725781.389;4370538.012;30;2018-03-28;00:45:10;2329;30
723402.164;4370710.10099999979;51;2018-03-28;00:45:10;2401;353
723258.596;4370454.66299999971;117;2018-03-28;00:15:03;2402;20
723239.399;4370596.05;117;2018-03-28;00:30:09;2405;62
723557.259;4370910.98;51;2018-03-28;00:45:10;2406;134
723435.868;4370789.996;231;2018-03-28;00:45:10;2407;626
723456.683;4370878.843;117;2018-03-28;00:45:10;2414;1
723393.607;4370716.65799999982;51;2018-03-28;00:45:10;2415;20
727096.799;4373809.68099999987;341;2018-03-28;00:45:10;2726;20
725642.798;4370963.69699999969;300;2017-09-15;09:45:02;504;840
725864.365;4370951.437;210;2018-03-28;00:45:02;505;61
725952.122;4370864.234;31;2018-03-28;00:45:02;506;333
726030.746;4371194.78299999982;299;2018-03-28;00:45:02;507;30
726107.83;4371063.30599999987;301;2018-03-28;00:45:02;508;41
726165.832;4371126.717;210;2018-03-28;00:45:02;509;96
726559.594;4371228.293;211;2018-03-28;00:45:02;519;229
726399.313;4371135.131;211;2018-03-28;00:45:02;520;313
726122.794;4370974.286;209;2018-03-28;00:45:02;521;208
725909.29;4370851.216;210;2018-03-28;00:45:02;522;271
725916.398;4370527.53699999955;300;2018-03-28;00:45:02;523;354
726371.333;4371221.81;301;2018-03-28;00:45:02;524;62
726036.582;4370352.67499999981;120;2018-03-28;00:45:02;526;207
726083.655;4371078.667;210;2018-03-28;00:45:02;527;30
728014.744;4371731.855;341;2018-03-28;00:45:09;2134;249
726262.975;4370415.67399999965;30;2018-03-28;00:45:09;2242;60
726382.2;4370504.96;210;2018-03-28;00:45:09;2243;40
723516.406;4370726.045;297;2018-03-28;00:45:10;2419;291
724233.708;4370656.471;186;2018-03-28;00:45:10;2420;50
723737.73;4370405.71399999969;116;2018-03-28;00:45:10;2422;145
723597.091;4370684.517;116;2018-03-28;00:45:10;2423;145
723847.09;4370455.543;227;2018-03-28;00:45:10;2424;20
723867.802;4370470.649;47;2018-03-28;00:30:10;2425;20
723934.082;4370552.69699999969;227;2018-03-27;23:30:12;2426;20
723956.71;4370570.012;47;2018-03-28;00:15:03;2427;166
724034.533;4370517.668;155;2018-03-28;00:45:10;2428;90
724017.443;4370643.32199999969;227;2018-03-28;00:30:10;2429;20
724077.903;4370632.241;5;2018-03-28;00:45:10;2430;40
724083.826;4370718.406;51;2018-03-28;00:45:10;2431;42
724171.702;4370812.05;319;2018-03-28;00:45:10;2432;50
724187.063;4370847.06699999981;51;2018-03-28;00:45:10;2433;92
724049.464;4370931.87799999956;229;2018-03-28;00:30:10;2434;40
724934.437;4372820.273;194;2018-03-28;00:45:10;2522;229
730073.674;4372391.843;0;2018-03-27;22:45:13;3021;20
729033.155;4371350.905;211;2018-03-28;00:30:12;3111;20
729238.457;4371254.38399999961;261;2018-03-28;00:45:11;3114;20
728865.296;4371328.274;220;2018-03-28;00:45:11;3118;250
729608.847;4370889.35;304;2018-03-28;00:45:11;3120;40
729645.716;4370563.757;236;2018-03-28;00:45:11;3121;30
729603.565;4370480.688;56;2018-03-28;00:45:11;3122;20
725965.432;4371010.091;210;2018-03-28;00:45:02;528;90
725080.9;4370918.22499999963;121;2017-11-27;06:30:15;609;455
725268.408;4370628.23699999973;140;2018-03-28;00:45:03;610;166
725307.6;4371614.932;300;2018-03-28;00:45:03;611;396
725234.184;4371537.36699999962;77;2018-03-28;00:45:03;612;102
725066.236;4370532.87;262;2018-03-28;00:45:03;613;194
725145.166;4371032.712;79;2018-03-28;00:45:03;614;165
725099.548;4370764.86099999957;261;2018-03-28;00:45:03;615;114
724946.855;4371119.994;301;2017-11-21;03:00:09;616;94
724834.676;4371310.281;302;2017-11-21;03:00:09;617;99
724269.666;4371642.809;61;2018-03-28;00:45:03;702;124
724119.046;4371630.69799999986;232;2018-03-28;00:45:03;703;165
723930.233;4371385.222;51;2018-03-28;00:45:03;704;192
724008.96;4371266.001;132;2018-03-28;00:30:01;705;20
723936.566;4371335.98199999984;312;2018-03-28;00:45:03;706;20
724141.278;4371709.712;109;2018-03-28;00:45:03;707;42
724341.749;4371768.193;66;2018-03-28;00:45:03;713;62
724150.173;4371648.716;297;2018-03-28;00:45:03;714;20
724193.057;4371555.459;110;2018-03-28;00:45:03;716;62
723979.127;4371462.27;231;2018-03-28;00:45:03;717;307
